epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4080.34,0.59114,0.49906,1.07054,0.84918,0.70409,0.76683,0.57785,0.94347,0.95224,1.22318,0.000325526,0.000325526,0.000325526
80,4132.33,0.58437,0.49447,1.05736,0.79602,0.7552,0.79366,0.59148,0.96118,0.95404,1.25182,0.000311379,0.000311379,0.000311379
81,4183.22,0.57165,0.47944,1.05562,0.78826,0.74762,0.76584,0.58057,0.92796,1.03369,1.18168,0.000297232,0.000297232,0.000297232
82,4235.44,0.57178,0.48546,1.04731,0.8333,0.72476,0.78077,0.58364,0.97293,0.93635,1.22614,0.000283085,0.000283085,0.000283085
83,4287.01,0.56183,0.47289,1.05217,0.82719,0.73081,0.78603,0.5885,0.9779,0.92579,1.24376,0.000268938,0.000268938,0.000268938
84,4338.5,0.55904,0.46217,1.04601,0.82102,0.72513,0.7826,0.59657,0.93642,0.92779,1.20481,0.000254791,0.000254791,0.000254791
85,4390.79,0.56792,0.46449,1.04663,0.81625,0.70971,0.76103,0.5857,0.93762,0.97114,1.20967,0.000240644,0.000240644,0.000240644
86,4442.24,0.54875,0.4556,1.0396,0.83344,0.73272,0.7848,0.5859,0.96888,0.93837,1.28747,0.000226497,0.000226497,0.000226497
87,4493.64,0.54221,0.45589,1.03551,0.83184,0.71701,0.77745,0.58811,0.96084,0.96981,1.25382,0.000212349,0.000212349,0.000212349
88,4545.97,0.5397,0.45211,1.03352,0.85241,0.70145,0.782,0.59598,0.95964,0.98958,1.24753,0.000198202,0.000198202,0.000198202
89,4596.98,0.54647,0.45074,1.0418,0.87089,0.6977,0.78548,0.59048,0.96098,0.94114,1.27287,0.000184055,0.000184055,0.000184055
90,4649.17,0.52945,0.4405,1.03299,0.83641,0.69021,0.77293,0.5892,0.96204,0.96787,1.24247,0.000169908,0.000169908,0.000169908
91,4701.11,0.55013,0.36957,1.07675,0.81149,0.70561,0.77147,0.57858,0.96529,0.99445,1.27315,0.000155761,0.000155761,0.000155761
92,4751.05,0.52654,0.3327,1.06316,0.81896,0.74344,0.77432,0.5838,0.96106,0.97251,1.28043,0.000141614,0.000141614,0.000141614
93,4801.79,0.51333,0.32736,1.06189,0.83894,0.7269,0.78048,0.58277,0.9696,0.95344,1.29902,0.000127467,0.000127467,0.000127467
94,4851.79,0.50525,0.32747,1.04314,0.81743,0.73988,0.77683,0.5872,0.96933,0.97693,1.30389,0.00011332,0.00011332,0.00011332
95,4902.05,0.49841,0.32452,1.04452,0.81606,0.73825,0.77711,0.58246,0.97118,0.9929,1.34182,9.91726e-05,9.91726e-05,9.91726e-05
96,4952.11,0.49217,0.31962,1.03164,0.83313,0.73713,0.78053,0.58588,0.96533,0.97394,1.32721,8.50255e-05,8.50255e-05,8.50255e-05
97,5002.16,0.47982,0.30946,1.02253,0.79648,0.74977,0.7816,0.58625,0.96727,0.95612,1.3305,7.08784e-05,7.08784e-05,7.08784e-05
98,5053.09,0.4801,0.31899,1.03476,0.79385,0.7522,0.7824,0.58699,0.96573,0.96133,1.32455,5.67313e-05,5.67313e-05,5.67313e-05
99,5104.45,0.47188,0.30484,1.02465,0.80293,0.75199,0.78059,0.59051,0.95513,0.96597,1.30497,4.25842e-05,4.25842e-05,4.25842e-05
100,5154.68,0.46363,0.30304,1.01944,0.81513,0.73417,0.78474,0.59025,0.97057,0.96564,1.32685,2.84371e-05,2.84371e-05,2.84371e-05
